Item ID,Category,Product Name,Description,Unit,Price,In Stock (Qty),SKU,Location
1001,Landscape,Mushroom Compost,Bulk compost for soil amendment,Cubic Yard,34.99,120,LC-1001,Zone A
1002,Landscape,Black Mulch,Double-shredded hardwood mulch,Cubic Yard,29.99,80,LM-1002,Zone A
1003,Landscape,Topsoil Screened,Clean screened topsoil,Cubic Yard,32.50,65,LS-1003,Zone A
1004,Landscape,57 Limestone,Crushed limestone aggregate,Ton,48.00,50,AG-1004,Gravel Pit 1
1005,Landscape,Contractor Grass Seed,General purpose seed blend,Bag (50lb),95.00,35,GF-1005,Storage Bay 2
1006,Masonry,8" Concrete Block,Standard CMU (hollow core),Each,2.25,2200,CM-2001,Block Yard
1007,Masonry,Type S Mortar,Gray masonry mortar mix,Bag (80lb),11.99,180,MA-2002,Storage Bay 1
1008,Masonry,Face Brick - Red Colonial,Red face brick with smooth finish,Pallet (500),400.00,6,BK-2003,Yard Stack B
1009,Masonry,#4 Rebar,1/2" steel reinforcement bar (20 ft),Each,13.50,320,RB-2004,Steel Rack 1
1010,Masonry,Wire Mesh Sheet,5'x10' concrete reinforcement mesh,Sheet,19.99,90,WM-2005,Steel Rack 2
1011,Stone,Bluestone Flagging,Natural cleft bluestone,Square Foot,7.75,1800,SN-3001,Stone Yard East
1012,Stone,Fieldstone Wall Rock,PA fieldstone for dry stack wall,Ton,165.00,40,SR-3002,Stone Yard West
1013,Pavers,Heritage Paver - Gray,Interlocking concrete paver (Lampus),Pallet,315.00,12,PV-4001,Paver Zone A
1014,Pavers,Versa-Lok Standard,Retaining wall block,Each,6.85,950,VL-4002,Wall Block A
1015,Drainage,4" Corrugated Pipe - Perforated,French drain pipe,Roll (100ft),62.00,30,DP-5001,Pipe Rack
1016,Fertilizer,Milorganite 6-4-0,Nitrogen-rich organic fertilizer,Bag (32lb),16.75,60,FT-6001,Fert Bay
1017,Masonry Cleaner,Sure Klean 600,Brick/masonry acid cleaner,Gallon,21.95,40,CL-7001,Chemical Locker
1018,Edging,Snap Edge Paver Restraint,Flexible paver edge restraint,Piece (8ft),12.00,140,ED-8001,Yard Shelf
1019,Natural Stone,Belvedere Wall Stone,Large block retaining wall stone,Piece,17.50,300,NW-9001,Stone Yard
1020,Soil Amendment,Pitt Moss Organic,Locally made peat alternative,Bag (2cf),11.25,85,SO-10020,Compost Bay
